file|coverage|peak|stack|time|substring_size
influenza-gcis-ef|-|9542624|6291456|0,0005|1
influenza|3|24804709|6291456|0,4037|1
influenza|4|25532406|6291456|0,2076|1
influenza|5|25930573|6291456|0,6256|1
influenza|6|26075598|6291456|0,2680|1
influenza|7|26905635|6291456|0,4056|1
influenza|8|29105990|6291456|0,0929|1
influenza|9|30757754|6291456|0,1278|1
influenza|15|37532992|6291456|0,3920|1
influenza|30|49565152|6291456|0,0862|1
influenza|60|78138850|6291456|0,0091|1
influenza-gcis-ef|-|9542624|6291456|0,0005|10
influenza|3|24822214|6291456|0,4052|10
influenza|4|25540607|6291456|0,2088|10
influenza|5|25955582|6291456|0,6305|10
influenza|6|26085975|6291456|0,2715|10
influenza|7|26924852|6291456|0,3976|10
influenza|8|29110095|6291456|0,0967|10
influenza|9|30763595|6291456|0,1292|10
influenza|15|37560001|6291456|0,3945|10
influenza|30|49572361|6291456|0,0865|10
influenza|60|78139339|6291456|0,0092|10
influenza-gcis-ef|-|9542624|6291456|0,0005|100
influenza|3|24822304|6291456|0,4111|100
influenza|4|25540697|6291456|0,2111|100
influenza|5|25955672|6291456|0,6283|100
influenza|6|26086065|6291456|0,2588|100
influenza|7|26924942|6291456|0,4187|100
influenza|8|29110185|6291456|0,1011|100
influenza|9|30763685|6291456|0,1355|100
influenza|15|37560091|6291456|0,4051|100
influenza|30|49572451|6291456|0,0913|100
influenza|60|78139429|6291456|0,0128|100
influenza-gcis-ef|-|9542624|6291456|0,0005|1000
influenza|3|24823204|6291456|0,4726|1000
influenza|4|25541597|6291456|0,2600|1000
influenza|5|25956572|6291456|0,6833|1000
influenza|6|26086965|6291456|0,2964|1000
influenza|7|26925842|6291456|0,4419|1000
influenza|8|29111085|6291456|0,1337|1000
influenza|9|30764585|6291456|0,1739|1000
influenza|15|37560991|6291456|0,4779|1000
influenza|30|49573351|6291456|0,1398|1000
influenza|60|78140329|6291456|0,0432|1000
influenza-gcis-ef|-|9542624|6291456|0,0005|10000
influenza|3|24849700|6291456|1,2114|10000
influenza|4|25566981|6291456|0,8674|10000
influenza|5|25965572|6291456|1,1342|10000
influenza|6|26106333|6291456|0,7150|10000
influenza|7|26934842|6291456|0,7735|10000
influenza|8|29128277|6291456|0,5319|10000
influenza|9|30779417|6291456|0,5338|10000
influenza|15|37569991|6291456|0,9793|10000
influenza|30|49582351|6291456|0,5168|10000
influenza|60|78150289|6291456|0,3181|10000
