file|coverage|peak|stack|time|substring_size
sources.001.2-gcis-ef|-|5735952|6291456|0,0005|1
sources.001.2|3|43845084|6291456|0,5469|1
sources.001.2|4|4798046|6291456|0,5608|1
sources.001.2|5|46176792|6291456|0,1676|1
sources.001.2|6|26094580|6291456|0,2569|1
sources.001.2|7|49713843|6291456|0,0776|1
sources.001.2|8|5665450|6291456|0,4286|1
sources.001.2|9|46427900|6291456|0,1284|1
sources.001.2|15|47954745|6291456|0,4012|1
sources.001.2|30|55884308|6291456|0,0880|1
sources.001.2|60|73031702|6291456|0,0098|1
sources.001.2-gcis-ef|-|5735952|6291456|0,0005|10
sources.001.2|3|43862589|6291456|0,5666|10
sources.001.2|4|4830823|6291456|0,5671|10
sources.001.2|5|46181801|6291456|0,1644|10
sources.001.2|6|26104957|6291456|0,2575|10
sources.001.2|7|49716596|6291456|0,0758|10
sources.001.2|8|5698227|6291456|0,4223|10
sources.001.2|9|46433741|6291456|0,1259|10
sources.001.2|15|47981754|6291456|0,3926|10
sources.001.2|30|55891517|6291456|0,0834|10
sources.001.2|60|73032191|6291456|0,0097|10
sources.001.2-gcis-ef|-|5735952|6291456|0,0005|100
sources.001.2|3|43862679|6291456|0,5556|100
sources.001.2|4|4830913|6291456|0,5722|100
sources.001.2|5|46181891|6291456|0,1731|100
sources.001.2|6|26105047|6291456|0,2671|100
sources.001.2|7|49716686|6291456|0,0882|100
sources.001.2|8|5698317|6291456|0,4363|100
sources.001.2|9|46433831|6291456|0,1333|100
sources.001.2|15|47981844|6291456|0,4151|100
sources.001.2|30|55891607|6291456|0,0916|100
sources.001.2|60|73032281|6291456|0,0146|100
sources.001.2-gcis-ef|-|5735952|6291456|0,0005|1000
sources.001.2|3|43863579|6291456|0,6628|1000
sources.001.2|4|4831813|6291456|0,6700|1000
sources.001.2|5|46182791|6291456|0,2427|1000
sources.001.2|6|26105947|6291456|0,3417|1000
sources.001.2|7|49717586|6291456|0,1480|1000
sources.001.2|8|5699217|6291456|0,5238|1000
sources.001.2|9|46434731|6291456|0,2060|1000
sources.001.2|15|47982744|6291456|0,5035|1000
sources.001.2|30|55892507|6291456|0,1370|1000
sources.001.2|60|73033181|6291456|0,0523|1000
sources.001.2-gcis-ef|-|5735952|6291456|0,0005|10000
sources.001.2|3|43890075|6291456|1,6581|10000
sources.001.2|4|4840813|6291456|1,1878|10000
sources.001.2|5|46206791|6291456|0,9880|10000
sources.001.2|6|26125315|6291456|0,8937|10000
sources.001.2|7|49737562|6291456|0,7784|10000
sources.001.2|8|5708217|6291456|0,8500|10000
sources.001.2|9|46449563|6291456|0,7720|10000
sources.001.2|15|47991744|6291456|1,1383|10000
sources.001.2|30|55901507|6291456|0,5441|10000
sources.001.2|60|73043141|6291456|0,3299|10000
