file|coverage|peak|stack|time|substring_size
cere-gcis-ef|-|21295904|6291456|0,0005|1
cere|3|136367664|6291456|3,3748|1
cere|4|155439850|6291456|4,0504|1
cere|5|140310491|6291456|3,9283|1
cere|6|125511688|6291456|1,6728|1
cere|7|122797183|6291456|3,1389|1
cere|8|121471354|6291456|0,7082|1
cere|9|122598486|6291456|1,0928|1
cere|15|260497575|6291456|0,4489|1
cere|30|314594384|6291456|0,0945|1
cere|60|367140886|6291456|0,2567|1
cere-gcis-ef|-|21295904|6291456|0,0006|10
cere|3|136525137|6291456|3,2584|10
cere|4|155439859|6291456|3,8941|10
cere|5|140310500|6291456|3,8841|10
cere|6|125573905|6291456|1,6714|10
cere|7|122931648|6291456|3,1743|10
cere|8|121504131|6291456|0,7060|10
cere|9|122650983|6291456|1,0972|10
cere|15|260497584|6291456|0,4493|10
cere|30|314601593|6291456|0,0948|10
cere|60|367140895|6291456|0,2570|10
cere-gcis-ef|-|21295904|6291456|0,0005|100
cere|3|136525227|6291456|3,3713|100
cere|4|155571021|6291456|4,2524|100
cere|5|140435590|6291456|4,4839|100
cere|6|125573995|6291456|1,7405|100
cere|7|122931738|6291456|3,4649|100
cere|8|121504221|6291456|0,7577|100
cere|9|122651073|6291456|1,1628|100
cere|15|260524674|6291456|0,4882|100
cere|30|314601683|6291456|0,1061|100
cere|60|367169785|6291456|0,2674|100
cere-gcis-ef|-|21295904|6291456|0,0005|1000
cere|3|136526127|6291456|3,4705|1000
cere|4|1000
cere|5|140436490|6291456|3,9507|1000
cere|6|125574895|6291456|1,7100|1000
cere|7|122932638|6291456|3,2107|1000
cere|8|121505121|6291456|0,7556|1000
cere|9|122651973|6291456|1,1854|1000
cere|15|260525574|6291456|0,5954|1000
cere|30|314602583|6291456|0,1654|1000
cere|60|367170685|6291456|0,3398|1000
cere-gcis-ef|-|21295904|6291456|0,0006|10000
cere|3|136535127|6291456|3,9883|10000
cere|4|155580921|6291456|4,4332|10000
cere|5|140445490|6291456|4,3813|10000
cere|6|125583895|6291456|2,0833|10000
cere|7|122941638|6291456|3,5186|10000
cere|8|121514121|6291456|1,0832|10000
cere|9|122660973|6291456|1,5620|10000
cere|15|260534574|6291456|1,2829|10000
cere|30|314611583|6291456|0,5907|10000
cere|60|367179685|6291456|0,6238|10000
