file|coverage|peak|stack|time|substring_size
dna.001.1-gcis-ef|-|5240296|6291456|0,0006|1
dna.001.1|3|22611797|6291456|0,0584|1
dna.001.1|4|3690170|6291456|0,5350|1
dna.001.1|5|22585692|6291456|0,0409|1
dna.001.1|6|8548376|6291456|0,1934|1
dna.001.1|7|21881951|6291456|0,0746|1
dna.001.1|8|4433490|6291456|0,4249|1
dna.001.1|9|28954161|6291456|0,0283|1
dna.001.1|15|36701072|6291456|0,0399|1
dna.001.1|30|28082860|6291456|0,0088|1
dna.001.1|60|26186942|6291456|0,0091|1
dna.001.1-gcis-ef|-|5240296|6291456|0,0006|10
dna.001.1|3|22613750|6291456|0,0748|10
dna.001.1|4|3722947|6291456|0,5652|10
dna.001.1|5|22586701|6291456|0,0395|10
dna.001.1|6|8558753|6291456|0,2054|10
dna.001.1|7|21884704|6291456|0,0735|10
dna.001.1|8|4466267|6291456|0,3943|10
dna.001.1|9|28954818|6291456|0,0264|10
dna.001.1|15|36702881|6291456|0,0407|10
dna.001.1|30|28083109|6291456|0,0087|10
dna.001.1|60|26187431|6291456|0,0098|10
dna.001.1-gcis-ef|-|5240296|6291456|0,0005|100
dna.001.1|3|22613840|6291456|0,0724|100
dna.001.1|4|3723037|6291456|0,5795|100
dna.001.1|5|22586791|6291456|0,0440|100
dna.001.1|6|8558843|6291456|0,2173|100
dna.001.1|7|21884794|6291456|0,0840|100
dna.001.1|8|4466357|6291456|0,4385|100
dna.001.1|9|28954908|6291456|0,0322|100
dna.001.1|15|36702971|6291456|0,0483|100
dna.001.1|30|28083199|6291456|0,0138|100
dna.001.1|60|26187521|6291456|0,0140|100
dna.001.1-gcis-ef|-|5240296|6291456|0,0006|1000
dna.001.1|3|22616684|6291456|0,1450|1000
dna.001.1|4|3723937|6291456|0,5906|1000
dna.001.1|5|22588691|6291456|0,1019|1000
dna.001.1|6|8559743|6291456|0,2463|1000
dna.001.1|7|21885694|6291456|0,1139|1000
dna.001.1|8|4467257|6291456|0,4370|1000
dna.001.1|9|28956456|6291456|0,0704|1000
dna.001.1|15|36703871|6291456|0,1124|1000
dna.001.1|30|28084339|6291456|0,0510|1000
dna.001.1|60|26188421|6291456|0,0429|1000
dna.001.1-gcis-ef|-|5240296|6291456|0,0005|10000
dna.001.1|3|22649012|6291456|0,9580|10000
dna.001.1|4|3732937|6291456|1,0887|10000
dna.001.1|5|22611691|6291456|0,6588|10000
dna.001.1|6|8579111|6291456|0,6077|10000
dna.001.1|7|21905670|6291456|0,5251|10000
dna.001.1|8|4476257|6291456|0,7753|10000
dna.001.1|9|28973232|6291456|0,4749|10000
dna.001.1|15|36716471|6291456|0,7161|10000
dna.001.1|30|28095739|6291456|0,4126|10000
dna.001.1|60|26198381|6291456|0,3073|10000
