file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dblp.xml.0001.1,3,947402690,6291456,20.4327,348662360,6291456,0.9549,17290668, 104857600
dblp.xml.0001.1,4,838861836,6291456,21.0732,244815432,6291456,0.6701,1057248, 104857600
dblp.xml.0001.1,5,775947280,6291456,20.4286,210061037,6291456,0.6341,20054497, 104857600
dblp.xml.0001.1,6,734004278,6291456,21.3375,189295098,6291456,0.5282,6310134, 104857600
dblp.xml.0001.1,7,704044998,6291456,21.8738,175762836,6291456,0.5328,20369652, 104857600
dblp.xml.0001.1,8,681575452,6291456,21.9034,165176500,6291456,0.4148,1215572, 104857600
dblp.xml.0001.1,9,664099245,6291456,22.1472,159302149,6291456,0.4499,25514974, 104857600
dblp.xml.0001.1,15,608175201,6291456,22.6176,140253968,6291456,0.3537,24211510, 104857600
dblp.xml.0001.1,30,566232352,6291456,22.9888,129023878,6291456,0.3119,18718990, 104857600
dblp.xml.0001.1,60,545261096,6291456,23.2951,125683024,6291456,0.3059,17924000, 104857600
dblp.xml.0001.1-gcis-ef,-,996664,6291456,14.3000,162557832,6291456,5.1733,947960, 104857600
dblp.xml.0001.1-gcis-s8b,-,1480376,6291456,14.9428,161621896,6291456,1.5459,878093, 104857600
