file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
influenza,3,1397814436,6291456,17.0157,515981440,6291456,1.4367,24786827, 154808555
influenza,4,1238469488,6291456,21.4444,361176308,6291456,1.0846,25523924, 154808555
influenza,5,1145584363,6291456,24.7446,309629630,6291456,0.9086,25905283, 154808555
influenza,6,1083660944,6291456,26.3009,278693320,6291456,0.8166,26064988, 154808555
influenza,7,1039429944,6291456,28.1562,258161028,6291456,0.7220,26886185, 154808555
influenza,8,1006256700,6291456,29.1792,243796084,6291456,0.6924,29101700, 154808555
influenza,9,980455271,6291456,29.9609,233965821,6291456,0.6358,30751728, 154808555
influenza,15,897890813,6291456,33.1181,211137777,6291456,0.5747,37505798, 154808555
influenza,30,835967528,6291456,34.7315,211221062,6291456,0.5629,49557806, 154808555
influenza,60,805006024,6291456,35.0516,236254924,6291456,0.5229,78138272, 154808555
influenza-gcis-ef,-,9684224,6291456,19.6076,235154848,6291456,8.3151,8758648, 154808555
influenza-gcis-s8b,-,9901072,6291456,19.7932,232434968,6291456,2.5755,7361187, 154808555
