file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
cere,3,4188981485,6291456,59.1817,1537606628,6291456,4.8078,136209718, 461286644
cere,4,3690294200,6291456,69.3102,1076328540,6291456,4.2891,155308392, 461286644
cere,5,3413522217,6291456,75.8388,922578147,6291456,3.7764,140185153, 461286644
cere,6,3229007580,6291456,77.5310,830350074,6291456,3.2720,125449190, 461286644
cere,7,3097211396,6291456,82.3996,768962387,6291456,2.6882,122662437, 461286644
cere,8,2998364268,6291456,86.9662,725461432,6291456,2.3747,121438344, 461286644
cere,9,2921483164,6291456,89.9647,694379949,6291456,2.1644,122545756, 461286644
cere,15,2675463629,6291456,104.8155,761195988,6291456,2.9291,260470381, 461286644
cere,30,2490949136,6291456,107.3093,792894406,6291456,2.5028,314587038, 461286644
cere,60,2398692088,6291456,108.8847,836992780,6291456,1.8436,367111940, 461286644
cere-gcis-ef,-,26263144,6291456,67.5162,939832968,6291456,25.7210,20482239, 461286644
cere-gcis-s8b,-,23026528,6291456,68.1093,730940728,6291456,8.9898,17331549, 461286644
