file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dna.001.1,3,948243842,6291456,11.3699,349237720,6291456,0.9794,22609563, 104857600
dna.001.1,4,838861836,6291456,13.4092,244660264,6291456,0.6643,3657064, 104857600
dna.001.1,5,775947280,6291456,16.2827,209552622,6291456,0.6201,22584498, 104857600
dna.001.1,6,734004278,6291456,16.9694,188757594,6291456,0.5146,8537766, 104857600
dna.001.1,7,704044998,6291456,18.6661,174848253,6291456,0.5310,21879013, 104857600
dna.001.1,8,681575452,6291456,19.0198,165216952,6291456,0.4162,4400480, 104857600
dna.001.1,9,664099245,6291456,20.2269,159113302,6291456,0.4719,28953367, 104857600
dna.001.1,15,608175201,6291456,22.4099,151063232,6291456,0.4937,36699126, 104857600
dna.001.1,30,566232352,6291456,23.0695,137950498,6291456,0.4269,28082522, 104857600
dna.001.1,60,545261096,6291456,23.2863,133726924,6291456,0.3356,26186364, 104857600
dna.001.1-gcis-ef,-,4934240,6291456,13.4179,157005312,6291456,5.6690,4450733, 104857600
dna.001.1-gcis-s8b,-,5401088,6291456,13.7088,155376928,6291456,1.7784,3717627, 104857600
