file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
jdk13c|DC3|743776004|6291456|1.000000000000000|207478305|6291456|0.000000000000000|21534141|69728899
jdk13c|DC4|697290080|6291456|1.000000000000000|162142304|6291456|0.000000000000000|22684096|69728899
jdk13c|DC5|669398524|6291456|1.000000000000000|147862537|6291456|0.000000000000000|22350184|69728899
jdk13c|DC6|650804200|6291456|1.000000000000000|138224472|6291456|0.000000000000000|22009332|69728899
jdk13c|DC7|637522516|6291456|1.000000000000000|132725656|6291456|0.000000000000000|23151413|69728899
jdk13c|DC8|627561280|6291456|1.000000000000000|128324696|6291456|0.000000000000000|23731016|69728899
jdk13c|DC9|619813620|6291456|1.000000000000000|125115736|6291456|0.000000000000000|24395977|69728899
jdk13c|DC11|611787722|6291456|1.000000000000000|120772418|6291456|0.000000000000000|25687346|69728899
jdk13c|DC15|607239999|6291456|1.000000000000000|117493366|6291456|0.000000000000000|29169727|69728899
jdk13c|DC30|603906456|6291456|1.000000000000000|115344212|6291456|0.000000000000000|36317528|69728899
jdk13c|DC32|604080428|6291456|1.000000000000000|115573600|6291456|0.000000000000000|37128016|69728899
jdk13c|DC60|609128292|6291456|1.000000000000000|120946008|6291456|0.000000000000000|46565112|69728899
jdk13c|DC64|609728000|6291456|1.000000000000000|121521456|6291456|0.000000000000000|47432864|69728899
jdk13c|GCIS-ef|290432831|6291456|2.0000|135077437|6291456|1.0000| 6592897|69728899
jdk13c|GCIS-s8b|282915696|6291456|2.0000|134835081|6291456|0.0000| 5809993|69728899
