file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dblp.xml.0001.1,3,947406802,6291456, 2.77,348671024,6291456, 0.36,17290668,104857600
dblp.xml.0001.1,4,838865932,6291456, 2.35,244824096,6291456, 0.27,1057248,104857600
dblp.xml.0001.1,5,775951376,6291456, 2.53,210069701,6291456, 0.26,20054497,104857600
dblp.xml.0001.1,6,734008374,6291456, 2.25,189303762,6291456, 0.22,6310134,104857600
dblp.xml.0001.1,7,704049094,6291456, 2.27,175771500,6291456, 0.21,20369652,104857600
dblp.xml.0001.1,8,681579548,6291456, 2.11,165185164,6291456, 0.17,1215572,104857600
dblp.xml.0001.1,9,664103341,6291456, 2.20,159310813,6291456, 0.21,25514974,104857600
dblp.xml.0001.1,15,608179297,6291456, 2.15,140262632,6291456, 0.17,24211510,104857600
dblp.xml.0001.1,30,566236448,6291456, 2.20,129032542,6291456, 0.16,18718990,104857600
dblp.xml.0001.1,60,545265192,6291456, 2.04,125691688,6291456, 0.18,17924000,104857600
dblp.xml.0001.1-gcis-ef, 0, 0, 0, 0, 0,0, 0,947960,104857600
dblp.xml.0001.1-gcis-s8b, 0, 0, 0, 0, 0,0, 0,878093,104857600
