file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dna.001.1,3,948247954,6291456, 2.54,349246384,6291456, 0.35,,
dna.001.1,4,838865932,6291456, 2.23,244668928,6291456, 0.26,,
dna.001.1,5,775951376,6291456, 2.25,209561286,6291456, 0.22,,
dna.001.1,6,734008374,6291456, 2.03,188766258,6291456, 0.19,,
dna.001.1,7,704049094,6291456, 2.20,174856917,6291456, 0.19,,
dna.001.1,8,681579548,6291456, 2.16,165225616,6291456, 0.17,,
dna.001.1,9,664103341,6291456, 2.30,159121966,6291456, 0.22,,
dna.001.1,15,608179297,6291456, 2.23,151071896,6291456, 0.26,,
dna.001.1,30,566236448,6291456, 2.35,137959162,6291456, 0.24,,
dna.001.1,60,545265192,6291456, 2.14,133735588,6291456, 0.19,,
dna.001.1-gcis-ef, 0, 0, 0, 0, 0,0, 0,,
dna.001.1-gcis-s8b, 0, 0, 0, 0, 0,0, 0,,
