file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
sources.001.2,3,953096770,6291456, 3.06,349502104,6291456, 0.43,,
sources.001.2,4,838865932,6291456, 2.69,245140044,6291456, 0.29,,
sources.001.2,5,775951376,6291456, 2.62,212260718,6291456, 0.36,,
sources.001.2,6,734008374,6291456, 2.39,191155062,6291456, 0.24,,
sources.001.2,7,704049094,6291456, 2.48,180825257,6291456, 0.29,,
sources.001.2,8,681579548,6291456, 2.23,166191032,6291456, 0.18,,
sources.001.2,9,664103341,6291456, 2.38,167875065,6291456, 0.24,,
sources.001.2,15,608179297,6291456, 2.28,162310117,6291456, 0.31,,
sources.001.2,30,566236448,6291456, 2.29,165326766,6291456, 0.31,,
sources.001.2,60,545265192,6291456, 2.24,180143428,6291456, 0.22,,
sources.001.2-gcis-ef, 0, 0, 0, 0, 0,0, 0,,
sources.001.2-gcis-s8b, 0, 0, 0, 0, 0,0, 0,,
