file|coverage|peak|stack|time|substring_size
dna.001.1-gcis-ef|-|5240296|6291456|0,1106|1
dna.001.1|3|23009853|6291456|0,006671258000000|1
dna.001.1|4|4057402|6291456|0,005385991000000|1
dna.001.1|5|22984692|6291456|0,005461579000000|1
dna.001.1|6|8938008|6291456|0,004875165000000|1
dna.001.1|7|22279207|6291456|0,005427616000000|1
dna.001.1|8|4800722|6291456|0,005447156000000|1
dna.001.1|9|29353513|6291456|0,006599434000000|1
dna.001.1|15|37099272|6291456|0,006807714000000|1
dna.001.1|30|28482620|6291456|0,005169668000000|1
dna.001.1|60|26586462|6291456|0,006586035000000|1
dna.001.1-gcis-ef|-|5240296|6291456|0,1728|10
dna.001.1|3|23009862|6291456|0,009356740000000|10
dna.001.1|4|4057411|6291456|0,011404335000000|10
dna.001.1|5|22984701|6291456|0,008099578000000|10
dna.001.1|6|8938017|6291456|0,009741583000000|10
dna.001.1|7|22279216|6291456|0,008346303000000|10
dna.001.1|8|4800731|6291456|0,008594688000000|10
dna.001.1|9|29353522|6291456|0,006825747000000|10
dna.001.1|15|10
dna.001.1|30|28482629|6291456|0,006686952000000|10
dna.001.1|60|26586471|6291456|0,006524784000000|10
dna.001.1-gcis-ef|-|5240296|6291456|0,6635|100
dna.001.1|3|23009952|6291456|0,026900222000000|100
dna.001.1|4|4057501|6291456|0,040790986000000|100
dna.001.1|5|22984791|6291456|0,019732103000000|100
dna.001.1|6|8938107|6291456|0,030271019000000|100
dna.001.1|7|22279306|6291456|0,021788524000000|100
dna.001.1|8|4800821|6291456|0,027130280000000|100
dna.001.1|9|29353612|6291456|0,017658718000000|100
dna.001.1|15|100
dna.001.1|30|28482719|6291456|0,009454528000000|100
dna.001.1|60|26586561|6291456|0,009548808000000|100
dna.001.1-gcis-ef|-|5240296|6291456|5,4731|1000
dna.001.1|3|23010852|6291456|0,103230423000000|1000
dna.001.1|4|4058401|6291456|0,220783500000000|1000
dna.001.1|5|22985691|6291456|0,068925323000000|1000
dna.001.1|6|8939007|6291456|0,134802669000000|1000
dna.001.1|7|22280206|6291456|0,080442845000000|1000
dna.001.1|8|4801721|6291456|0,139123036000000|1000
dna.001.1|9|29354512|6291456|0,054127954000000|1000
dna.001.1|15|1000
dna.001.1|30|28483619|6291456|0,043516120000000|1000
dna.001.1|60|26587461|6291456|0,034029169000000|1000
dna.001.1-gcis-ef|-|5240296|6291456|50,8437|10000
dna.001.1|3|23019852|6291456|0,715637942000000|10000
dna.001.1|4|4067401|6291456|0,857298263000000|10000
dna.001.1|5|22994691|6291456|0,510784121000000|10000
dna.001.1|6|8948007|6291456|0,481345588000000|10000
dna.001.1|7|22289206|6291456|0,436909102000000|10000
dna.001.1|8|4810721|6291456|0,634328580000000|10000
dna.001.1|9|29363512|6291456|0,407175214000000|10000
dna.001.1|15|10000
dna.001.1|30|28492619|6291456|0,361346621000000|10000
dna.001.1|60|26596461|6291456|0,261643708000000|10000
