file|coverage|peak|stack|time|substring_size
dblp.xml.0001.1-gcis-ef|-|1743424|6291456|0,1130|1
dblp.xml.0001.1|3|17690910|6291456|0,004733661000000|1
dblp.xml.0001.1|4|1457682|6291456|0,005329156000000|1
dblp.xml.0001.1|5|20454691|6291456|0,004891995000000|1
dblp.xml.0001.1|6|6710376|6291456|0,005011035000000|1
dblp.xml.0001.1|7|20769798|6291456|0,004514009000000|1
dblp.xml.0001.1|8|1615862|6291456|0,005351928000000|1
dblp.xml.0001.1|9|25915120|6291456|0,004593901000000|1
dblp.xml.0001.1|15|24611608|6291456|0,004101464000000|1
dblp.xml.0001.1|30|19119088|6291456|0,004478185000000|1
dblp.xml.0001.1|60|18324098|6291456|0,006204611000000|1
dblp.xml.0001.1-gcis-ef|-|1743424|6291456|0,1631|10
dblp.xml.0001.1|3|17690919|6291456|0,007814132000000|10
dblp.xml.0001.1|4|1457691|6291456|0,014088164000000|10
dblp.xml.0001.1|5|20454700|6291456|0,009551291000000|10
dblp.xml.0001.1|6|6710385|6291456|0,009740556000000|10
dblp.xml.0001.1|7|20769807|6291456|0,006094624000000|10
dblp.xml.0001.1|8|1615871|6291456|0,009866501000000|10
dblp.xml.0001.1|9|25915129|6291456|0,006087125000000|10
dblp.xml.0001.1|15|24611617|6291456|0,004709575000000|10
dblp.xml.0001.1|30|19119097|6291456|0,004987554000000|10
dblp.xml.0001.1|60|18324107|6291456|0,005966701000000|10
dblp.xml.0001.1-gcis-ef|-|1743424|6291456|0,6278|100
dblp.xml.0001.1|3|17691009|6291456|0,019729650000000|100
dblp.xml.0001.1|4|1457781|6291456|0,054426861000000|100
dblp.xml.0001.1|5|20454790|6291456|0,021789023000000|100
dblp.xml.0001.1|6|6710475|6291456|0,031264714000000|100
dblp.xml.0001.1|7|20769897|6291456|0,014415713000000|100
dblp.xml.0001.1|8|1615961|6291456|0,032832242000000|100
dblp.xml.0001.1|9|25915219|6291456|0,017184598000000|100
dblp.xml.0001.1|15|24611707|6291456|0,009240993000000|100
dblp.xml.0001.1|30|19119187|6291456|0,008151766000000|100
dblp.xml.0001.1|60|18324197|6291456|0,009510074000000|100
dblp.xml.0001.1-gcis-ef|-|1743424|6291456|5,1968|1000
dblp.xml.0001.1|3|17691909|6291456|0,080839233000000|1000
dblp.xml.0001.1|4|1458681|6291456|0,357055595000000|1000
dblp.xml.0001.1|5|20455690|6291456|0,075101529000000|1000
dblp.xml.0001.1|6|6711375|6291456|0,140124827000000|1000
dblp.xml.0001.1|7|20770797|6291456|0,052141900000000|1000
dblp.xml.0001.1|8|1616861|6291456|0,188521202000000|1000
dblp.xml.0001.1|9|25916119|6291456|0,050739510000000|1000
dblp.xml.0001.1|15|24612607|6291456|0,036879725000000|1000
dblp.xml.0001.1|30|19120087|6291456|0,032259776000000|1000
dblp.xml.0001.1|60|18325097|6291456|0,030304824000000|1000
dblp.xml.0001.1-gcis-ef|-|1743424|6291456|47,9881|10000
dblp.xml.0001.1|3|17700909|6291456|0,645912217000000|10000
dblp.xml.0001.1|4|1467681|6291456|2,117547447000000|10000
dblp.xml.0001.1|5|20464690|6291456|0,542851649000000|10000
dblp.xml.0001.1|6|6720375|6291456|0,518146758000000|10000
dblp.xml.0001.1|7|20779797|6291456|0,425680048000000|10000
dblp.xml.0001.1|8|1625861|6291456|1,133486253000000|10000
dblp.xml.0001.1|9|25925119|6291456|0,373000414000000|10000
dblp.xml.0001.1|15|24621607|6291456|0,304596984000000|10000
dblp.xml.0001.1|30|19129087|6291456|0,253489124000000|10000
dblp.xml.0001.1|60|18334097|6291456|0,227620071000000|10000
