file|coverage|peak|stack|time|substring_size
sources.001.2-gcis-ef|-|5735952|6291456|0,1183|1
sources.001.2|3|44227588|6291456|0,008320355000000|1
sources.001.2|4|5165278|6291456|0,007742421000000|1
sources.001.2|5|46571792|6291456|0,010796498000000|1
sources.001.2|6|26484212|6291456|0,008236518000000|1
sources.001.2|7|50111099|6291456|0,009484433000000|1
sources.001.2|8|6032682|6291456|0,005894649000000|1
sources.001.2|9|46822068|6291456|0,013133805000000|1
sources.001.2|11|44855472|6291456|0,008701312000000|1
sources.001.2|15|48327745|6291456|0,008925367000000|1
sources.001.2|30|56277108|6291456|0,009998158000000|1
sources.001.2|60|73431222|6291456|0,010447274000000|1
sources.001.2-gcis-ef|-|5735952|6291456|0,2055|10
sources.001.2|3|44227597|6291456|0,021070872000000|10
sources.001.2|4|5165287|6291456|0,015768734000000|10
sources.001.2|5|46571801|6291456|0,013743443000000|10
sources.001.2|6|26484221|6291456|0,014181881000000|10
sources.001.2|7|50111108|6291456|0,010555833000000|10
sources.001.2|8|6032691|6291456|0,009898641000000|10
sources.001.2|9|46822077|6291456|0,009252810000000|10
sources.001.2|11|44855481|6291456|0,009912436000000|10
sources.001.2|15|48327754|6291456|0,009965600000000|10
sources.001.2|30|56277117|6291456|0,009050056000000|10
sources.001.2|60|73431231|6291456|0,011252207000000|10
sources.001.2-gcis-ef|-|5735952|6291456|0,7151|100
sources.001.2|3|44227687|6291456|0,061524479000000|100
sources.001.2|4|5165377|6291456|0,040581104000000|100
sources.001.2|5|46571891|6291456|0,045453729000000|100
sources.001.2|6|26484311|6291456|0,042355580000000|100
sources.001.2|7|50111198|6291456|0,030849513000000|100
sources.001.2|8|6032781|6291456|0,022303358000000|100
sources.001.2|9|46822167|6291456|0,028842980000000|100
sources.001.2|11|44855571|6291456|0,024747930000000|100
sources.001.2|15|48327844|6291456|0,016097004000000|100
sources.001.2|30|56277207|6291456|0,012495995000000|100
sources.001.2|60|73431321|6291456|0,010427104000000|100
sources.001.2-gcis-ef|-|5735952|6291456|5,7773|1000
sources.001.2|3|44228587|6291456|0,314182924000000|1000
sources.001.2|4|5166277|6291456|0,259212416000000|1000
sources.001.2|5|46572791|6291456|0,193524924000000|1000
sources.001.2|6|26485211|6291456|0,217566560000000|1000
sources.001.2|7|50112098|6291456|0,129385077000000|1000
sources.001.2|8|6033681|6291456|0,133883133000000|1000
sources.001.2|9|46823067|6291456|0,163790021000000|1000
sources.001.2|11|44856471|6291456|0,146891421000000|1000
sources.001.2|15|48328744|6291456|0,083970355000000|1000
sources.001.2|30|56278107|6291456|0,053845332000000|1000
sources.001.2|60|73432221|6291456|0,033453563000000|1000
sources.001.2-gcis-ef|-|5735952|6291456|57,4143|10000
sources.001.2|3|44237587|6291456|1,648285753000000|10000
sources.001.2|4|5175277|6291456|1,201547040000000|10000
sources.001.2|5|46581791|6291456|0,949802692000000|10000
sources.001.2|6|26494211|6291456|0,798856122000000|10000
sources.001.2|7|50121098|6291456|0,678476703000000|10000
sources.001.2|8|6042681|6291456|0,632939576000000|10000
sources.001.2|9|46832067|6291456|0,696656206000000|10000
sources.001.2|11|44865471|6291456|0,645634077000000|10000
sources.001.2|15|48337744|6291456|0,554599165000000|10000
sources.001.2|30|56287107|6291456|0,390403208000000|10000
sources.001.2|60|73441221|6291456|0,263833265000000|10000
