file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
sources.001.2|3|943719454|13952|33,3735|349493440|6592|4,1051|43827202| 104857600
sources.001.2|4|838861836|11504|31,6736|245131380|6592|2,6267|4764940| 104857600
sources.001.2|5|775947280|11392|35,2159|212252054|6592|2,4946|46171550| 104857600
sources.001.2|6|734004278|11392|35,1942|191146398|6592|2,1351|26083970| 104857600
sources.001.2|7|706131663|10496|37,4150|180816593|6592|1,9812|49710905| 104857600
sources.001.2|8|681575452|11392|36,0357|166182368|6592|1,5398|5632440| 104857600
sources.001.2|9|671471023|10496|40,8403|167866401|6592|2,5281|46421874| 104857600
sources.001.2|15|630884828|10496|41,3709|162301453|6592|1,6501|47927551| 104857600
sources.001.2|30|608822010|9664|42,6939|165318102|6592|1,2596|55876962| 104857600
sources.001.2|60|611417128|8800|44,1471|180134764|6592|1,0236|73031124| 104857600
sources.001.2-gcis-ef|-|5503808|6291456|15,3020|179828816|6291456|6,4358|4944584| 104857600
sources.001.2-gcis-s8b|-|6238248|6291456|15,1659|175676328|6291456|2,0160|4299635| 104857600
