file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
proteins.001.1|3|943719454|11504|34,1296|349429508|6592|3,8970|20115806| 104857600
proteins.001.1|4|838861836|11504|34,3035|245091300|6592|2,6398|4758028| 104857600
proteins.001.1|5|775947280|11392|38,5714|212325754|6592|2,4207|23547754| 104857600
proteins.001.1|6|734004278|11392|39,9789|191437710|6592|1,9878|12111882| 104857600
proteins.001.1|7|704044998|11392|41,6522|179555289|6592|1,8718|25081093| 104857600
proteins.001.1|8|681575452|11392|41,0125|166525448|6592|1,5784|5970496| 104857600
proteins.001.1|9|664099245|10496|42,9142|163534809|6592|1,7462|28161298| 104857600
proteins.001.1|15|611197759|9664|44,5797|145488272|6592|1,3724|28422382| 104857600
proteins.001.1|30|576374196|9664|45,2882|133770492|6592|1,1273|23430488| 104857600
proteins.001.1|60|562192648|8800|46,5693|131347204|6592|0,9311|23806644| 104857600
proteins.001.1-gcis-ef|-|5561096|6291456|19,8592|184916344|6291456|6,8849|5103624| 104857600
proteins.001.1-gcis-s8b|-|4907816|6291456|20,1483|184630816|6291456|2,2242|4329053| 104857600
