file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
influenza|3|1393278040|13952|31,3526|515981440|6592|5,1979|24786827| 154808555
influenza|4|1238469488|11392|33,3650|361176308|6592|3,8168|25523924| 154808555
influenza|5|1145584363|11392|36,1442|309629630|6592|3,1770|25905283| 154808555
influenza|6|1083660944|11392|39,7876|278693320|6592|2,7936|26064988| 154808555
influenza|7|1039429944|11392|43,8346|258161028|6592|2,4898|26886185| 154808555
influenza|8|1006256700|10496|49,3590|243796084|6592|2,4921|29101700| 154808555
influenza|9|980455271|10496|49,8728|233965821|6592|2,5984|30751728| 154808555
influenza|15|897890813|10496|58,5388|211137777|6592|1,8952|37505798| 154808555
influenza|30|865881278|9664|65,3697|211221062|6592|1,7023|49557806| 154808555
influenza|60|872994580|8800|68,5744|236254924|6592|1,4201|78138272| 154808555
influenza-gcis-ef|-|9684224|6291456|19,6449|235154848|6291456|8,0591|8758648| 154808555
influenza-gcis-s8b|-|9901072|6291456|19,1400|232434968|6291456|2,4835|7361187| 154808555
