-rw-r--r-- 1 dany dany   519 Apr 22 17:12 artificial-fib41-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   265 Apr 22 17:12 artificial-fib41-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   327 Apr 22 17:12 artificial-fib41-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany  1.1K Apr 22 17:13 artificial-rs.13-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   529 Apr 22 17:13 artificial-rs.13-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   607 Apr 22 17:13 artificial-rs.13-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany   991 Apr 19 23:46 artificial-tm29-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   497 Apr 19 23:46 artificial-tm29-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   575 Apr 22 17:14 artificial-tm29-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany  179M Apr 22 17:57 code-sources-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany  148M Apr 22 17:57 code-sources-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany  144M Apr 22 17:57 code-sources-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany   15M Apr 22 15:24 corpus-dickens-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   11M Apr 22 15:24 corpus-dickens-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   11M Apr 22 18:03 corpus-dickens-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany  121M Apr 22 17:47 corpus-etext99-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany  100M Apr 22 17:47 corpus-etext99-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   96M Apr 22 17:47 corpus-etext99-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany   46M Apr 22 17:50 corpus-howto-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   37M Apr 22 17:50 corpus-howto-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   35M Apr 22 17:50 corpus-howto-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany  8.7M Apr 22 18:05 corpus-nci-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany  6.3M Apr 22 18:05 corpus-nci-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany  6.1M Apr 22 18:05 corpus-nci-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany   59M Apr 22 17:52 corpus-rctail96-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   48M Apr 22 17:52 corpus-rctail96-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   46M Apr 22 17:52 corpus-rctail96-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany  103M Apr 22 17:54 corpus-sprot34.dat-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   85M Apr 22 17:54 corpus-sprot34.dat-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   81M Apr 22 17:54 corpus-sprot34.dat-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany   42M Apr 22 18:06 corpus-webster-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany   32M Apr 22 18:06 corpus-webster-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany   31M Apr 22 18:06 corpus-webster-PlainSlp_IblcFblc
-rw-r--r-- 1 dany dany  473M Apr 22 10:59 dna-dna-PlainSlp_32Fblc
-rw-r--r-- 1 dany dany  412M Apr 22 15:16 dna-dna-PlainSlp_FblcFblc
-rw-r--r-- 1 dany dany  396M Apr 22 17:59 dna-dna-PlainSlp_IblcFblc
