file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
dna.001.1|3|948243842|10816|21,1027|349237720|6528|3,4896|22609563| 104857600
dna.001.1|4|838861836|10912|20,2106|244660264|6528|2,4743|3657064| 104857600
dna.001.1|5|775947280|10048|24,0785|209552622|6528|2,1372|22584498| 104857600
dna.001.1|6|734004278|10816|26,2775|188757594|6528|1,7525|8537766| 104857600
dna.001.1|7|704044998|10048|29,9532|174848253|6528|1,6885|21879013| 104857600
dna.001.1|8|681575452|10816|31,1891|165216952|6528|1,5217|4400480| 104857600
dna.001.1|9|664099245|9280|34,2940|159113302|6528|1,7496|28953367| 104857600
dna.001.1|15|608175201|9280|40,2705|151063232|6528|1,5374|36699126| 104857600
dna.001.1|30|566232352|8512|43,3777|137950498|6528|1,1878|28082522| 104857600
dna.001.1|60|545261096|8512|44,9761|133726924|6528|0,9547|26186364| 104857600
dna.001.1-gcis-ef|-|4934240|6291456|13,6584|157005312|6291456|5,4892|4450733| 104857600
dna.001.1-gcis-s8b|-|5401088|6291456|13,4916|155376928|6291456|1,7247|3717627| 104857600
