file|coverage|peak|stack|time|substring_size
cere-gcis-ef|-|1
cere|3|1
cere|4|1
cere|5|1
cere|6|1
cere|7|1
cere|8|1
cere|9|1
cere|15|1
cere|30|1
cere|60|1
cere-gcis-ef|-|10
cere|3|10
cere|4|10
cere|5|10
cere|6|10
cere|7|10
cere|8|10
cere|9|10
cere|15|10
cere|30|10
cere|60|10
cere-gcis-ef|-|100
cere|3|100
cere|4|100
cere|5|100
cere|6|100
cere|7|100
cere|8|100
cere|9|100
cere|15|100
cere|30|100
cere|60|100
cere-gcis-ef|-|1000
cere|3|1000
cere|4|1000
cere|5|1000
cere|6|1000
cere|7|1000
cere|8|1000
cere|9|1000
cere|15|1000
cere|30|1000
cere|60|1000
cere-gcis-ef|-|10000
cere|3|10000
cere|4|10000
cere|5|10000
cere|6|10000
cere|7|10000
cere|8|10000
cere|9|10000
cere|15|10000
cere|30|10000
cere|60|10000
