file|coverage|peak|stack|time|substring_size
dblp.xml.0001.1-gcis-ef|-|1
dblp.xml.0001.1|3|1
dblp.xml.0001.1|4|1
dblp.xml.0001.1|5|1
dblp.xml.0001.1|6|1
dblp.xml.0001.1|7|1
dblp.xml.0001.1|8|1
dblp.xml.0001.1|9|1
dblp.xml.0001.1|15|1
dblp.xml.0001.1|30|1
dblp.xml.0001.1|60|1
dblp.xml.0001.1-gcis-ef|-|10
dblp.xml.0001.1|3|10
dblp.xml.0001.1|4|10
dblp.xml.0001.1|5|10
dblp.xml.0001.1|6|10
dblp.xml.0001.1|7|10
dblp.xml.0001.1|8|10
dblp.xml.0001.1|9|10
dblp.xml.0001.1|15|10
dblp.xml.0001.1|30|10
dblp.xml.0001.1|60|10
dblp.xml.0001.1-gcis-ef|-|100
dblp.xml.0001.1|3|100
dblp.xml.0001.1|4|100
dblp.xml.0001.1|5|100
dblp.xml.0001.1|6|100
dblp.xml.0001.1|7|100
dblp.xml.0001.1|8|100
dblp.xml.0001.1|9|100
dblp.xml.0001.1|15|100
dblp.xml.0001.1|30|100
dblp.xml.0001.1|60|100
dblp.xml.0001.1-gcis-ef|-|1000
dblp.xml.0001.1|3|1000
dblp.xml.0001.1|4|1000
dblp.xml.0001.1|5|1000
dblp.xml.0001.1|6|1000
dblp.xml.0001.1|7|1000
dblp.xml.0001.1|8|1000
dblp.xml.0001.1|9|1000
dblp.xml.0001.1|15|1000
dblp.xml.0001.1|30|1000
dblp.xml.0001.1|60|1000
dblp.xml.0001.1-gcis-ef|-|10000
dblp.xml.0001.1|3|10000
dblp.xml.0001.1|4|10000
dblp.xml.0001.1|5|10000
dblp.xml.0001.1|6|10000
dblp.xml.0001.1|7|10000
dblp.xml.0001.1|8|10000
dblp.xml.0001.1|9|10000
dblp.xml.0001.1|15|10000
dblp.xml.0001.1|30|10000
dblp.xml.0001.1|60|10000
