file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-einstein.en|DC3||
real-einstein.en|DC4||
real-einstein.en|DC5||
real-einstein.en|DC6||
real-einstein.en|DC7||
real-einstein.en|DC8||
real-einstein.en|DC9||
real-einstein.en|DC11||
real-einstein.en|DC15||
real-einstein.en|DC30||
real-einstein.en|DC32||
real-einstein.en|DC60||
real-einstein.en|DC64||
real-einstein.en|GCIS-ef| 0|
real-einstein.en|GCIS-s8b|87565|6291456|0.0000| 25|
