file|algorithm|peak|stack|time|substring_size
real-Escherichia_Coli|GCIS-ef|19994428|6291456|0.0545|1
real-Escherichia_Coli|DC3|44896282|6291456|0.087770123000000|1
real-Escherichia_Coli|DC4|57029814|6291456|0.057425789000000|1
real-Escherichia_Coli|DC5|45938649|6291456|0.180426528000000|1
real-Escherichia_Coli|DC6|40222516|6291456|0.064146144000000|1
real-Escherichia_Coli|DC7|38140207|6291456|0.099731729000000|1
real-Escherichia_Coli|DC8|36632126|6291456|0.021371785000000|1
real-Escherichia_Coli|DC9|37308834|6291456|0.029651654000000|1
real-Escherichia_Coli|DC11|60774604|6291456|0.049675436000000|1
real-Escherichia_Coli|DC15|102662831|6291456|0.009708901000000|1
real-Escherichia_Coli|DC30|108142510|6291456|0.017442293000000|1
real-Escherichia_Coli|DC32|107837658|6291456|0.018058240000000|1
real-Escherichia_Coli|DC60|111759978|6291456|0.002705025000000|1
real-Escherichia_Coli|DC64|112378230|6291456|0.002559605000000|1
real-Escherichia_Coli|GCIS-ef|19994428|6291456|0.0837|10
real-Escherichia_Coli|DC3|44896291|6291456|0.088558321000000|10
real-Escherichia_Coli|DC4|57029823|6291456|0.059439923000000|10
real-Escherichia_Coli|DC5|45938658|6291456|0.181430112000000|10
real-Escherichia_Coli|DC6|40222525|6291456|0.065388628000000|10
real-Escherichia_Coli|DC7|38140216|6291456|0.100778677000000|10
real-Escherichia_Coli|DC8|36632135|6291456|0.022433539000000|10
real-Escherichia_Coli|DC9|37308843|6291456|0.031056941000000|10
real-Escherichia_Coli|DC11|60774613|6291456|0.049512310000000|10
real-Escherichia_Coli|DC15|102662840|6291456|0.009994694000000|10
real-Escherichia_Coli|DC30|108142519|6291456|0.018698286000000|10
real-Escherichia_Coli|DC32|107837667|6291456|0.018343476000000|10
real-Escherichia_Coli|DC60|111759987|6291456|0.002796060000000|10
real-Escherichia_Coli|DC64|112378239|6291456|0.002813627000000|10
real-Escherichia_Coli|GCIS-ef|19994428|6291456|0.3452|100
real-Escherichia_Coli|DC3|44896381|6291456|0.088483749000000|100
real-Escherichia_Coli|DC4|57029913|6291456|0.058481133000000|100
real-Escherichia_Coli|DC5|45938748|6291456|0.178631706000000|100
real-Escherichia_Coli|DC6|40222615|6291456|0.064975040000000|100
real-Escherichia_Coli|DC7|38140306|6291456|0.101114718000000|100
real-Escherichia_Coli|DC8|36632225|6291456|0.023379566000000|100
real-Escherichia_Coli|DC9|37308933|6291456|0.033661447000000|100
real-Escherichia_Coli|DC11|60774703|6291456|0.051776517000000|100
real-Escherichia_Coli|DC15|102662930|6291456|0.014499144000000|100
real-Escherichia_Coli|DC30|108142609|6291456|0.022670986000000|100
real-Escherichia_Coli|DC32|107837757|6291456|0.021687638000000|100
real-Escherichia_Coli|DC60|111760077|6291456|0.004320309000000|100
real-Escherichia_Coli|DC64|112378329|6291456|0.004781331000000|100
real-Escherichia_Coli|GCIS-ef|19994428|6291456|2.9010|1000
real-Escherichia_Coli|DC3|44897281|6291456|0.102841207000000|1000
real-Escherichia_Coli|DC4|57030813|6291456|0.073134756000000|1000
real-Escherichia_Coli|DC5|45939648|6291456|0.191269290000000|1000
real-Escherichia_Coli|DC6|40223515|6291456|0.079819079000000|1000
real-Escherichia_Coli|DC7|38141206|6291456|0.114240661000000|1000
real-Escherichia_Coli|DC8|36633125|6291456|0.038226193000000|1000
real-Escherichia_Coli|DC9|37309833|6291456|0.046317351000000|1000
real-Escherichia_Coli|DC11|60775603|6291456|0.089922426000000|1000
real-Escherichia_Coli|DC15|102663830|6291456|0.056313038000000|1000
real-Escherichia_Coli|DC30|108143509|6291456|0.051105094000000|1000
real-Escherichia_Coli|DC32|107838657|6291456|0.048280220000000|1000
real-Escherichia_Coli|DC60|111760977|6291456|0.022614664000000|1000
real-Escherichia_Coli|DC64|112379229|6291456|0.022937229000000|1000
real-Escherichia_Coli|GCIS-ef|19994428|6291456|25.9072|10000
real-Escherichia_Coli|DC3|44906281|6291456|0.453168186000000|10000
real-Escherichia_Coli|DC4|57039813|6291456|0.429866667000000|10000
real-Escherichia_Coli|DC5|45948648|6291456|0.395794617000000|10000
real-Escherichia_Coli|DC6|40232515|6291456|0.298166528000000|10000
real-Escherichia_Coli|DC7|38150206|6291456|0.269381679000000|10000
real-Escherichia_Coli|DC8|36642125|6291456|0.244747329000000|10000
real-Escherichia_Coli|DC9|37318833|6291456|0.235250244000000|10000
real-Escherichia_Coli|DC11|60784603|6291456|0.378155769000000|10000
real-Escherichia_Coli|DC15|102672830|6291456|0.496137751000000|10000
real-Escherichia_Coli|DC30|108152509|6291456|0.292211865000000|10000
real-Escherichia_Coli|DC32|107847657|6291456|0.276963848000000|10000
real-Escherichia_Coli|DC60|111769977|6291456|0.176069681000000|10000
real-Escherichia_Coli|DC64|112388229|6291456|0.208504812000000|10000
