file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
proteins.001.1,3,946795674,6291456, 3.07,349438172,6291456, 0.38,20115806,104857600
proteins.001.1,4,838865932,6291456, 2.61,245099964,6291456, 0.30,4758028,104857600
proteins.001.1,5,775951376,6291456, 2.79,212334418,6291456, 0.27,23547754,104857600
proteins.001.1,6,734008374,6291456, 2.61,191446374,6291456, 0.22,12111882,104857600
proteins.001.1,7,704049094,6291456, 2.54,179563953,6291456, 0.22,25081093,104857600
proteins.001.1,8,681579548,6291456, 2.45,166534112,6291456, 0.19,5970496,104857600
proteins.001.1,9,664103341,6291456, 2.55,163543473,6291456, 0.20,28161298,104857600
proteins.001.1,15,608179297,6291456, 2.29,145496936,6291456, 0.18,28422382,104857600
proteins.001.1,30,566236448,6291456, 2.36,133779156,6291456, 0.20,23430488,104857600
proteins.001.1,60,545265192,6291456, 2.22,131355868,6291456, 0.16,23806644,104857600
proteins.001.1-gcis-ef,0,0,104857600
proteins.001.1-gcis-s8b,0,0,104857600
