file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
influenza|3|24786827| 154808555
influenza|4|25523924| 154808555
influenza|5|25905283| 154808555
influenza|6|26064988| 154808555
influenza|7|26886185| 154808555
influenza|8|29101700| 154808555
influenza|9|30751728| 154808555
influenza|15|37505798| 154808555
influenza|30|49557806| 154808555
influenza|60|78138272| 154808555
influenza-gcis-ef|-|9684224|6291456|19,0000|235154848|6291456|8,0000|8758648| 154808555
influenza-gcis-s8b|-|9901072|6291456|19,0000|232434968|6291456|2,0000|7361187| 154808555
