file|coverage|peak|stack|time|substring_size
sources.001.2-gcis-ef|-|1
sources.001.2|3|1
sources.001.2|4|1
sources.001.2|5|1
sources.001.2|6|1
sources.001.2|7|1
sources.001.2|8|1
sources.001.2|9|1
sources.001.2|15|1
sources.001.2|30|1
sources.001.2|60|1
sources.001.2-gcis-ef|-|10
sources.001.2|3|10
sources.001.2|4|10
sources.001.2|5|10
sources.001.2|6|10
sources.001.2|7|10
sources.001.2|8|10
sources.001.2|9|10
sources.001.2|15|10
sources.001.2|30|10
sources.001.2|60|10
sources.001.2-gcis-ef|-|100
sources.001.2|3|100
sources.001.2|4|100
sources.001.2|5|100
sources.001.2|6|100
sources.001.2|7|100
sources.001.2|8|100
sources.001.2|9|100
sources.001.2|15|100
sources.001.2|30|100
sources.001.2|60|100
sources.001.2-gcis-ef|-|1000
sources.001.2|3|1000
sources.001.2|4|1000
sources.001.2|5|1000
sources.001.2|6|1000
sources.001.2|7|1000
sources.001.2|8|1000
sources.001.2|9|1000
sources.001.2|15|1000
sources.001.2|30|1000
sources.001.2|60|1000
sources.001.2-gcis-ef|-|10000
sources.001.2|3|10000
sources.001.2|4|10000
sources.001.2|5|10000
sources.001.2|6|10000
sources.001.2|7|10000
sources.001.2|8|10000
sources.001.2|9|10000
sources.001.2|15|10000
sources.001.2|30|10000
sources.001.2|60|10000
