file|coverage|substring_size|peak|stack|time
influenza-gcis-ef|-|1|9817508|6291456|0.0002
influenza|3|1|140579102|6291456|15.3575
influenza|4|1|67323730|6291456|16.6809
influenza|5|1|168794818|6291456|17.1780
influenza|6|1|76141150|6291456|17.6636
influenza|7|1|129638702|6291456|19.8306
influenza|8|1|44897242|6291456|23.4079
influenza|9|1|56290078|6291456|25.5669
influenza|15|1|168367654|6291456|32.4280
influenza|30|1|72488964|6291456|74.1433
influenza|60|1|73540514|6291456|128.4538
influenza-gcis-ef|-|10|9817508|6291456|0.0002
influenza|3|10|140852773|6291456|15.2896
influenza|4|10|67512001|6291456|16.7728
influenza|5|10|168994177|6291456|17.0894
influenza|6|10|76318221|6291456|17.6087
influenza|7|10|129773509|6291456|19.9872
influenza|8|10|45029353|6291456|23.3955
influenza|9|10|56425989|6291456|25.4934
influenza|15|10|168501037|6291456|32.5037
influenza|30|10|72590127|6291456|73.8812
influenza|60|10|73638069|6291456|129.0702
influenza-gcis-ef|-|100|9817508|6291456|0.0002
influenza|3|100|143576363|6291456|15.3636
influenza|4|100|69705931|6291456|16.6963
influenza|5|100|170753407|6291456|17.1980
influenza|6|100|78076491|6291456|17.6199
influenza|7|100|131368067|6291456|19.9391
influenza|8|100|46483843|6291456|23.2565
influenza|9|100|57781819|6291456|25.5737
influenza|15|100|169632371|6291456|32.4193
influenza|30|100|73598033|6291456|74.1617
influenza|60|100|74598735|6291456|128.5857
influenza-gcis-ef|-|1000|9817508|6291456|0.0002
influenza|3|1000|170602343|6291456|15.3478
influenza|4|1000|90762075|6291456|16.7764
influenza|5|1000|189236275|6291456|17.0927
influenza|6|1000|94384091|6291456|17.6419
influenza|7|1000|146327695|6291456|19.9219
influenza|8|1000|60652003|6291456|23.4796
influenza|9|1000|71287639|6291456|25.4979
influenza|15|1000|181538735|6291456|32.5835
influenza|30|1000|83885637|6291456|73.8116
influenza|60|1000|84205395|6291456|129.2539
influenza-gcis-ef|-|10000|9817508|6291456|0.0002
influenza|3|10000|440391279|6291456|15.7435
influenza|4|10000|300557759|6291456|16.9435
influenza|5|10000|369084023|6291456|17.3712
influenza|6|10000|255824231|6291456|17.7759
influenza|7|10000|296327319|6291456|20.3690
influenza|8|10000|201989623|6291456|23.8429
influenza|9|10000|206231039|6291456|25.9897
influenza|15|10000|297564935|6291456|32.0988
influenza|30|10000|186383538|6291456|74.4800
influenza|60|10000|180318664|6291456|128.6362
