file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
dna.001.1|3|943719454|6291456|2.6036349243260|6291456|0.364322609563| 104857600
dna.001.1|4|838861836|6291456|2.0840244664832|6291456|0.26973657064| 104857600
dna.001.1|5|775947280|6291456|2.2719209558215|6291456|0.241622584498| 104857600
dna.001.1|6|734004278|6291456|2.1720188765258|6291456|0.20318537766| 104857600
dna.001.1|7|704044998|6291456|2.1519174854830|6291456|0.207621879013| 104857600
dna.001.1|8|681575452|6291456|2.0652165221520|6291456|0.19074400480| 104857600
dna.001.1|9|664099245|6291456|2.1617159118221|6291456|0.237228953367| 104857600
dna.001.1|15|619660243|6291456|2.3428151068085|6291456|0.277336699126| 104857600
dna.001.1|30|580803418|6291456|2.2890137955066|6291456|0.257628082522| 104857600
dna.001.1|60|564576952|6291456|2.0343133731492|6291456|0.211526186364| 104857600
dna.001.1-gcis-ef|-|554735645|6291456|5.4181261950949|6291456|2.80814450733| 104857600
dna.001.1-gcis-s8b|-|549324373|6291456|5.2199261171257|6291456|1.03133717627| 104857600
