file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
proteins.001.1|3|943719454|6291456|3.0735349435048|6291456|0.384820115806|104857600|20115806|104857600
proteins.001.1|4|838861836|6291456|2.5585245095868|6291456|0.31364758028|104857600|4758028|104857600
proteins.001.1|5|775947280|6291456|2.6774212333837|6291456|0.267023547754|104857600|23547754|104857600
proteins.001.1|6|734004278|6291456|2.5732191445374|6291456|0.241112111882|104857600|12111882|104857600
proteins.001.1|7|704044998|6291456|2.5696179561866|6291456|0.224425081093|104857600|25081093|104857600
proteins.001.1|8|681575452|6291456|2.3086166530016|6291456|0.20395970496|104857600|5970496|104857600
proteins.001.1|9|664099245|6291456|2.4913163539728|6291456|0.214228161298|104857600|28161298|104857600
proteins.001.1|15|611197767|6291456|2.4211145493125|6291456|0.196628422382|104857600|28422382|104857600
proteins.001.1|30|576374204|6291456|2.1097133786280|6291456|0.213323430488|104857600|23430488|104857600
proteins.001.1|60|562197232|6291456|2.2412131351772|6291456|0.200423806644|104857600|23806644|104857600
proteins.001.1-gcis-ef|-|558365655|6291456|7.0336289876757|6291456|3.49375103624|104857600|5103624|104857600
proteins.001.1-gcis-s8b|-|550472354|6291456|6.7535291643073|6291456|1.35034329053|104857600|4329053|104857600
