file|coverage|substring_size|peak|stack|time
dna.001.1-gcis-ef|-|1|5459260|6291456|0.0002
dna.001.1|3|1|23824510|6291456|13.9173
dna.001.1|4|1|219869566|6291456|1.5991
dna.001.1|5|1|18001770|6291456|14.5064
dna.001.1|6|1|66288322|6291456|3.1651
dna.001.1|7|1|31262214|6291456|15.2212
dna.001.1|8|1|189471830|6291456|1.8447
dna.001.1|9|1|26987294|6291456|24.1404
dna.001.1|15|1|29047854|6291456|31.6671
dna.001.1|30|1|20035396|6291456|25.9337
dna.001.1|60|1|24348258|6291456|29.0637
dna.001.1-gcis-ef|-|10|5459260|6291456|0.0002
dna.001.1|3|10|24090677|6291456|13.8455
dna.001.1|4|10|220046933|6291456|1.6062
dna.001.1|5|10|18173505|6291456|14.5570
dna.001.1|6|10|66490273|6291456|3.1697
dna.001.1|7|10|31411405|6291456|15.0669
dna.001.1|8|10|189599269|6291456|1.8718
dna.001.1|9|10|27121329|6291456|24.3685
dna.001.1|15|10|29160017|6291456|31.7409
dna.001.1|30|10|20138035|6291456|25.7636
dna.001.1|60|10|24444349|6291456|28.8500
dna.001.1-gcis-ef|-|100|5459260|6291456|0.0002
dna.001.1|3|100|26880475|6291456|13.9748
dna.001.1|4|100|222060887|6291456|1.5955
dna.001.1|5|100|19990695|6291456|14.4297
dna.001.1|6|100|68099263|6291456|3.1556
dna.001.1|7|100|32968915|6291456|15.1209
dna.001.1|8|100|190986003|6291456|1.8643
dna.001.1|9|100|28493711|6291456|24.2437
dna.001.1|15|100|30325027|6291456|31.6578
dna.001.1|30|100|21163061|6291456|26.0422
dna.001.1|60|100|25401843|6291456|28.8422
dna.001.1-gcis-ef|-|1000|5459260|6291456|0.0002
dna.001.1|3|1000|53814743|6291456|13.6888
dna.001.1|4|1000|243227095|6291456|1.6159
dna.001.1|5|1000|37933211|6291456|14.4007
dna.001.1|6|1000|84021223|6291456|3.1699
dna.001.1|7|1000|47873615|6291456|15.2963
dna.001.1|8|1000|205265271|6291456|1.8608
dna.001.1|9|1000|41976927|6291456|24.3250
dna.001.1|15|1000|41904755|6291456|31.9265
dna.001.1|30|1000|31403029|6291456|26.1504
dna.001.1|60|1000|35002647|6291456|28.8521
dna.001.1-gcis-ef|-|10000|5459260|6291456|0.0002
dna.001.1|3|10000|323419983|6291456|14.0339
dna.001.1|4|10000|451940235|6291456|1.8524
dna.001.1|5|10000|217806283|6291456|14.6732
dna.001.1|6|10000|246811103|6291456|3.3595
dna.001.1|7|10000|197837415|6291456|15.5704
dna.001.1|8|10000|346915787|6291456|2.0089
dna.001.1|9|10000|176875699|6291456|24.6804
dna.001.1|15|10000|157610455|6291456|32.2755
dna.001.1|30|10000|133804794|6291456|28.1661
dna.001.1|60|10000|131115672|6291456|30.2040
