file|coverage|substring_size|peak|stack|time
dblp.xml.0001.1-gcis-ef|-|1|1912148|6291456|0.0002
dblp.xml.0001.1|3|1|12379970|6291456|9.8970
dblp.xml.0001.1|4|1|3496045270|6291456|4.3090
dblp.xml.0001.1|5|1|17230466|6291456|12.7806
dblp.xml.0001.1|6|1|65014654|6291456|2.4096
dblp.xml.0001.1|7|1|15260110|6291456|13.3808
dblp.xml.0001.1|8|1|1498707454|6291456|1.9426
dblp.xml.0001.1|9|1|23520050|6291456|19.5662
dblp.xml.0001.1|15|1|18267934|6291456|18.3880
dblp.xml.0001.1|30|1|11109272|6291456|12.4491
dblp.xml.0001.1|60|1|16304846|6291456|14.3737
dblp.xml.0001.1-gcis-ef|-|10|1912148|6291456|0.0002
dblp.xml.0001.1|3|10|12653397|6291456|9.9675
dblp.xml.0001.1|4|10|3496135261|6291456|4.3116
dblp.xml.0001.1|5|10|17411561|6291456|12.9217
dblp.xml.0001.1|6|10|65229045|6291456|2.4161
dblp.xml.0001.1|7|10|15412345|6291456|13.7286
dblp.xml.0001.1|8|10|1498797445|6291456|1.9424
dblp.xml.0001.1|9|10|23658089|6291456|20.2030
dblp.xml.0001.1|15|10|18383397|6291456|21.1664
dblp.xml.0001.1|30|10|11210919|6291456|12.6364
dblp.xml.0001.1|60|10|16400449|6291456|14.0879
dblp.xml.0001.1-gcis-ef|-|100|1912148|6291456|0.0002
dblp.xml.0001.1|3|100|15306891|6291456|9.9271
dblp.xml.0001.1|4|100|3498433267|6291456|4.3566
dblp.xml.0001.1|5|100|19228751|6291456|13.3723
dblp.xml.0001.1|6|100|66900235|6291456|2.4414
dblp.xml.0001.1|7|100|16904827|6291456|13.2372
dblp.xml.0001.1|8|100|1500296539|6291456|1.9683
dblp.xml.0001.1|9|100|25023191|6291456|19.7981
dblp.xml.0001.1|15|100|19538475|6291456|18.3661
dblp.xml.0001.1|30|100|12229745|6291456|12.6029
dblp.xml.0001.1|60|100|17363067|6291456|14.1672
dblp.xml.0001.1-gcis-ef|-|1000|1912148|6291456|0.0002
dblp.xml.0001.1|3|1000|42261579|6291456|9.9016
dblp.xml.0001.1|4|1000|3521762851|6291456|4.3509
dblp.xml.0001.1|5|1000|37176759|6291456|12.5580
dblp.xml.0001.1|6|1000|82934155|6291456|2.4371
dblp.xml.0001.1|7|1000|31881175|6291456|13.5658
dblp.xml.0001.1|8|1000|1515437275|6291456|1.9625
dblp.xml.0001.1|9|1000|38529703|6291456|21.5713
dblp.xml.0001.1|15|1000|31096103|6291456|18.4080
dblp.xml.0001.1|30|1000|22480997|6291456|12.8725
dblp.xml.0001.1|60|1000|26961431|6291456|14.4763
dblp.xml.0001.1-gcis-ef|-|10000|1912148|6291456|0.0002
dblp.xml.0001.1|3|10000|311482659|6291456|10.2540
dblp.xml.0001.1|4|10000|3718009147|6291456|4.5782
dblp.xml.0001.1|5|10000|217031859|6291456|12.9200
dblp.xml.0001.1|6|10000|244629315|6291456|2.6230
dblp.xml.0001.1|7|10000|181713739|6291456|13.9404
dblp.xml.0001.1|8|10000|1650966259|6291456|2.1123
dblp.xml.0001.1|9|10000|173423015|6291456|20.2374
dblp.xml.0001.1|15|10000|146693695|6291456|19.0773
dblp.xml.0001.1|30|10000|124873214|6291456|13.0816
dblp.xml.0001.1|60|10000|123060792|6291456|15.2059
