file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
sources.001.2,3,953092658,6291456,18.8897,349493440,6291456,1.1715,43827202, 104857600
sources.001.2,4,838861836,6291456,18.5175,245131380,6291456,0.6969,4764940, 104857600
sources.001.2,5,775947280,6291456,21.5463,212252054,6291456,0.8448,46171550, 104857600
sources.001.2,6,734004278,6291456,20.7364,191146398,6291456,0.6971,26083970, 104857600
sources.001.2,7,704044998,6291456,21.5896,180816593,6291456,0.6870,49710905, 104857600
sources.001.2,8,681575452,6291456,20.6449,166182368,6291456,0.4239,5632440, 104857600
sources.001.2,9,664099245,6291456,21.7709,167866401,6291456,0.6136,46421874, 104857600
sources.001.2,15,608175201,6291456,22.6156,162301453,6291456,0.5909,47927551, 104857600
sources.001.2,30,566232352,6291456,24.5846,165318102,6291456,0.6109,55876962, 104857600
sources.001.2,60,545261096,6291456,24.4415,180134764,6291456,0.5230,73031124, 104857600
sources.001.2-gcis-ef,-,5503808,6291456,16.7064,179828816,6291456,6.8132,4944584, 104857600
sources.001.2-gcis-s8b,-,6238248,6291456,16.3044,175676328,6291456,2.1445,4299635, 104857600
